2013-03-31 22:06:46,591 [5] INFO  Umbraco.Core.CoreBootManager - [Thread 1] Umbraco application starting
2013-03-31 22:18:44,615 [38] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 1 (took 2ms)
2013-03-31 22:18:44,676 [38] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 3 (took 2ms)
2013-03-31 22:18:44,680 [38] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 1 (took 3ms)
2013-03-31 22:18:44,686 [38] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 8 (took 3ms)
2013-03-31 22:18:44,757 [38] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of umbraco.interfaces.IApplication, found 7 (took 4ms)
2013-03-31 22:18:44,774 [38] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of umbraco.interfaces.ITree, found 28 (took 3ms)
2013-03-31 22:18:44,824 [38] INFO  Umbraco.Core.CoreBootManager - [Thread 1] Umbraco application startup complete (took 399ms)
2013-03-31 22:18:53,805 [38] INFO  Umbraco.Web.UmbracoApplication - [Thread 42] Application shutdown. Reason: BinDirChangeOrDirectoryRename
2013-03-31 22:19:05,030 [34] INFO  Umbraco.Core.CoreBootManager - [Thread 1] Umbraco application starting
2013-03-31 22:19:05,045 [34] INFO  Umbraco.Core.PluginManager - [Thread 1] Determining hash of code files on disk
2013-03-31 22:19:05,051 [34] INFO  Umbraco.Core.PluginManager - [Thread 1] Hash determined (took 4ms)
2013-03-31 22:19:05,197 [34] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of umbraco.interfaces.ICacheRefresher, found 5 (took 133ms)
2013-03-31 22:19:05,208 [34] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of umbraco.interfaces.IDataType, found 35 (took 5ms)
2013-03-31 22:19:05,213 [34] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of umbraco.interfaces.IMacroGuiRendering, found 13 (took 4ms)
2013-03-31 22:19:05,218 [34] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of umbraco.interfaces.IPackageAction, found 12 (took 4ms)
2013-03-31 22:19:05,223 [34] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of umbraco.interfaces.IAction, found 35 (took 4ms)
2013-03-31 22:19:05,227 [34] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 4ms)
2013-03-31 22:19:05,240 [34] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 1 (took 9ms)
2013-03-31 22:19:05,303 [34] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 3 (took 3ms)
2013-03-31 22:19:05,307 [34] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 1 (took 3ms)
2013-03-31 22:19:05,315 [34] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 8 (took 3ms)
2013-03-31 22:19:05,419 [34] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of umbraco.interfaces.IApplication, found 7 (took 6ms)
2013-03-31 22:19:05,436 [34] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of umbraco.interfaces.ITree, found 28 (took 4ms)
2013-03-31 22:19:05,472 [34] INFO  Umbraco.Core.CoreBootManager - [Thread 1] Umbraco application startup complete (took 438ms)
2013-03-31 22:20:30,993 [34] INFO  Umbraco.Web.UmbracoApplication - [Thread 39] Application shutdown. Reason: BinDirChangeOrDirectoryRename
2013-03-31 22:20:43,573 [28] INFO  Umbraco.Core.CoreBootManager - [Thread 29] Umbraco application starting
2013-03-31 22:20:43,598 [28] INFO  Umbraco.Core.PluginManager - [Thread 29] Determining hash of code files on disk
2013-03-31 22:20:43,606 [28] INFO  Umbraco.Core.PluginManager - [Thread 29] Hash determined (took 7ms)
2013-03-31 22:20:43,732 [28] INFO  Umbraco.Core.PluginManager - [Thread 29] Completed resolution of types of umbraco.interfaces.ICacheRefresher, found 5 (took 116ms)
2013-03-31 22:20:43,738 [28] INFO  Umbraco.Core.PluginManager - [Thread 29] Completed resolution of types of umbraco.interfaces.IDataType, found 35 (took 3ms)
2013-03-31 22:20:43,741 [28] INFO  Umbraco.Core.PluginManager - [Thread 29] Completed resolution of types of umbraco.interfaces.IMacroGuiRendering, found 13 (took 2ms)
2013-03-31 22:20:43,744 [28] INFO  Umbraco.Core.PluginManager - [Thread 29] Completed resolution of types of umbraco.interfaces.IPackageAction, found 12 (took 2ms)
2013-03-31 22:20:43,746 [28] INFO  Umbraco.Core.PluginManager - [Thread 29] Completed resolution of types of umbraco.interfaces.IAction, found 35 (took 2ms)
2013-03-31 22:20:43,750 [28] INFO  Umbraco.Core.PluginManager - [Thread 29] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 3ms)
2013-03-31 22:20:43,754 [28] INFO  Umbraco.Core.PluginManager - [Thread 29] Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 1 (took 2ms)
2013-03-31 22:20:43,800 [28] INFO  Umbraco.Core.PluginManager - [Thread 29] Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 3 (took 3ms)
2013-03-31 22:20:43,803 [28] INFO  Umbraco.Core.PluginManager - [Thread 29] Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 1 (took 2ms)
2013-03-31 22:20:43,809 [28] INFO  Umbraco.Core.PluginManager - [Thread 29] Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 8 (took 3ms)
2013-03-31 22:20:43,881 [28] INFO  Umbraco.Core.PluginManager - [Thread 29] Completed resolution of types of umbraco.interfaces.IApplication, found 7 (took 4ms)
2013-03-31 22:20:43,897 [28] INFO  Umbraco.Core.PluginManager - [Thread 29] Completed resolution of types of umbraco.interfaces.ITree, found 28 (took 4ms)
2013-03-31 22:20:43,939 [28] INFO  Umbraco.Core.CoreBootManager - [Thread 29] Umbraco application startup complete (took 362ms)
2013-03-31 22:22:19,499 [28] INFO  Umbraco.Web.UmbracoApplication - [Thread 32] Application shutdown. Reason: BinDirChangeOrDirectoryRename
2013-03-31 22:22:30,482 [28] INFO  Umbraco.Core.CoreBootManager - [Thread 29] Umbraco application starting
2013-03-31 22:22:30,499 [28] INFO  Umbraco.Core.PluginManager - [Thread 29] Determining hash of code files on disk
2013-03-31 22:22:30,504 [28] INFO  Umbraco.Core.PluginManager - [Thread 29] Hash determined (took 4ms)
2013-03-31 22:22:30,621 [28] INFO  Umbraco.Core.PluginManager - [Thread 29] Completed resolution of types of umbraco.interfaces.ICacheRefresher, found 5 (took 109ms)
2013-03-31 22:22:30,627 [28] INFO  Umbraco.Core.PluginManager - [Thread 29] Completed resolution of types of umbraco.interfaces.IDataType, found 35 (took 2ms)
2013-03-31 22:22:30,633 [28] INFO  Umbraco.Core.PluginManager - [Thread 29] Completed resolution of types of umbraco.interfaces.IMacroGuiRendering, found 13 (took 5ms)
2013-03-31 22:22:30,643 [28] INFO  Umbraco.Core.PluginManager - [Thread 29] Completed resolution of types of umbraco.interfaces.IPackageAction, found 12 (took 9ms)
2013-03-31 22:22:30,648 [28] INFO  Umbraco.Core.PluginManager - [Thread 29] Completed resolution of types of umbraco.interfaces.IAction, found 35 (took 5ms)
2013-03-31 22:22:30,652 [28] INFO  Umbraco.Core.PluginManager - [Thread 29] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 3ms)
2013-03-31 22:22:30,657 [28] INFO  Umbraco.Core.PluginManager - [Thread 29] Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 1 (took 3ms)
2013-03-31 22:22:30,698 [28] INFO  Umbraco.Core.PluginManager - [Thread 29] Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 3 (took 2ms)
2013-03-31 22:22:30,702 [28] INFO  Umbraco.Core.PluginManager - [Thread 29] Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 1 (took 2ms)
2013-03-31 22:22:30,711 [28] INFO  Umbraco.Core.PluginManager - [Thread 29] Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 8 (took 3ms)
2013-03-31 22:22:30,727 [28] INFO  Umbraco.Core.PluginManager - [Thread 29] Completed resolution of types of umbraco.interfaces.IApplication, found 7 (took 5ms)
2013-03-31 22:22:30,743 [28] INFO  Umbraco.Core.PluginManager - [Thread 29] Completed resolution of types of umbraco.interfaces.ITree, found 28 (took 4ms)
2013-03-31 22:22:30,852 [28] INFO  Umbraco.Core.CoreBootManager - [Thread 29] Umbraco application startup complete (took 366ms)
2013-03-31 22:41:21,294 [28] INFO  Umbraco.Web.UmbracoApplication - [Thread 20] Application shutdown. Reason: BinDirChangeOrDirectoryRename
2013-03-31 22:41:35,323 [15] INFO  Umbraco.Core.CoreBootManager - [Thread 9] Umbraco application starting
2013-03-31 22:41:35,342 [15] INFO  Umbraco.Core.PluginManager - [Thread 9] Determining hash of code files on disk
2013-03-31 22:41:35,347 [15] INFO  Umbraco.Core.PluginManager - [Thread 9] Hash determined (took 4ms)
2013-03-31 22:41:35,464 [15] INFO  Umbraco.Core.PluginManager - [Thread 9] Completed resolution of types of umbraco.interfaces.ICacheRefresher, found 5 (took 109ms)
2013-03-31 22:41:35,471 [15] INFO  Umbraco.Core.PluginManager - [Thread 9] Completed resolution of types of umbraco.interfaces.IDataType, found 35 (took 3ms)
2013-03-31 22:41:35,475 [15] INFO  Umbraco.Core.PluginManager - [Thread 9] Completed resolution of types of umbraco.interfaces.IMacroGuiRendering, found 13 (took 3ms)
2013-03-31 22:41:35,478 [15] INFO  Umbraco.Core.PluginManager - [Thread 9] Completed resolution of types of umbraco.interfaces.IPackageAction, found 12 (took 2ms)
2013-03-31 22:41:35,481 [15] INFO  Umbraco.Core.PluginManager - [Thread 9] Completed resolution of types of umbraco.interfaces.IAction, found 35 (took 3ms)
2013-03-31 22:41:35,485 [15] INFO  Umbraco.Core.PluginManager - [Thread 9] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 3ms)
2013-03-31 22:41:35,490 [15] INFO  Umbraco.Core.PluginManager - [Thread 9] Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 1 (took 3ms)
2013-03-31 22:41:35,538 [15] INFO  Umbraco.Core.PluginManager - [Thread 9] Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 3 (took 2ms)
2013-03-31 22:41:35,542 [15] INFO  Umbraco.Core.PluginManager - [Thread 9] Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 1 (took 3ms)
2013-03-31 22:41:35,550 [15] INFO  Umbraco.Core.PluginManager - [Thread 9] Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 8 (took 3ms)
2013-03-31 22:41:35,635 [15] INFO  Umbraco.Core.PluginManager - [Thread 9] Completed resolution of types of umbraco.interfaces.IApplication, found 7 (took 7ms)
2013-03-31 22:41:35,648 [15] INFO  Umbraco.Core.PluginManager - [Thread 9] Completed resolution of types of umbraco.interfaces.ITree, found 28 (took 3ms)
2013-03-31 22:41:35,693 [15] INFO  Umbraco.Core.CoreBootManager - [Thread 9] Umbraco application startup complete (took 367ms)
2013-03-31 22:47:40,895 [15] INFO  Umbraco.Web.UmbracoApplication - [Thread 60] Application shutdown. Reason: ConfigurationChange
2013-03-31 22:47:48,555 [69] INFO  Umbraco.Core.CoreBootManager - [Thread 68] Umbraco application starting
2013-03-31 22:47:48,569 [69] INFO  Umbraco.Core.PluginManager - [Thread 68] Determining hash of code files on disk
2013-03-31 22:47:48,579 [69] INFO  Umbraco.Core.PluginManager - [Thread 68] Hash determined (took 9ms)
2013-03-31 22:47:48,754 [69] INFO  Umbraco.Core.PluginManager - [Thread 68] Completed resolution of types of umbraco.interfaces.ICacheRefresher, found 5 (took 169ms)
2013-03-31 22:47:48,762 [69] INFO  Umbraco.Core.PluginManager - [Thread 68] Completed resolution of types of umbraco.interfaces.IDataType, found 35 (took 4ms)
2013-03-31 22:47:48,766 [69] INFO  Umbraco.Core.PluginManager - [Thread 68] Completed resolution of types of umbraco.interfaces.IMacroGuiRendering, found 13 (took 4ms)
2013-03-31 22:47:48,771 [69] INFO  Umbraco.Core.PluginManager - [Thread 68] Completed resolution of types of umbraco.interfaces.IPackageAction, found 12 (took 3ms)
2013-03-31 22:47:48,776 [69] INFO  Umbraco.Core.PluginManager - [Thread 68] Completed resolution of types of umbraco.interfaces.IAction, found 35 (took 4ms)
2013-03-31 22:47:48,781 [69] INFO  Umbraco.Core.PluginManager - [Thread 68] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 4ms)
2013-03-31 22:47:48,787 [69] INFO  Umbraco.Core.PluginManager - [Thread 68] Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 1 (took 3ms)
2013-03-31 22:47:48,832 [69] INFO  Umbraco.Core.PluginManager - [Thread 68] Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 3 (took 3ms)
2013-03-31 22:47:48,835 [69] INFO  Umbraco.Core.PluginManager - [Thread 68] Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 1 (took 2ms)
2013-03-31 22:47:48,842 [69] INFO  Umbraco.Core.PluginManager - [Thread 68] Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 8 (took 2ms)
2013-03-31 22:47:48,933 [69] INFO  Umbraco.Core.PluginManager - [Thread 68] Completed resolution of types of umbraco.interfaces.IApplication, found 7 (took 6ms)
2013-03-31 22:47:48,975 [69] INFO  Umbraco.Core.PluginManager - [Thread 68] Completed resolution of types of umbraco.interfaces.ITree, found 28 (took 25ms)
2013-03-31 22:47:49,031 [69] INFO  Umbraco.Core.CoreBootManager - [Thread 68] Umbraco application startup complete (took 473ms)
2013-03-31 23:55:32,374 [69] INFO  Umbraco.Core.PluginManager - [Thread 71] Completed resolution of types of umbraco.BusinessLogic.Actions.IActionHandler, found 1 (took 2ms)
2013-03-31 23:55:32,376 [69] INFO  Umbraco.Core.PluginManager - [Thread 71] Completed resolution of types of umbraco.interfaces.IAction, found 35 (took 0ms)
2013-03-31 23:55:32,503 [69] INFO  Umbraco.Core.PluginManager - [Thread 71] Completed resolution of types of umbraco.interfaces.ITree, found 37 (took 82ms)
